agencia,ais,area_faccao,arma,bairro,cidade,comment,consolidado,data,database,editar,excluir,hora,id,id_evento,idade,latitude,longitude,name,sexo,tipo,tipo_evento,type,version,dia_semana,eh_feriado,dia_quente_cvp,clima,precipitacao_mm,qtd_mortes,nature
2.0,10.0,,Arma de fogo,AEROLANDIA,Fortaleza,,Sim,2026-05-11,,,,05:28:00,78518,4427115.0,39.0,-3.7693854301,-38.4933013708,RUA JOÃO NONATO COSTA,M,cvli,HOMICIDIO DOLOSO,,,Segunda-feira,False,False,,,1.0,HOMICIDIO DOLOSO
2.0,17.0,,Arma de fogo,ITAPAJE,Itapajé,,Sim,2026-05-11,,,,03:00:00,78519,4427136.0,47.0,-3.6841653614,-39.5808339708,RUA MARIA APARECIDA LIMA BARBOSA,M,cvli,HOMICIDIO DOLOSO,,,Segunda-feira,False,False,,,1.0,HOMICIDIO DOLOSO
2.0,21.0,,Arma de fogo,VARZEA ALEGRE,Várzea Alegre,,Sim,2026-05-11,,,,03:00:00,78522,4427158.0,,-6.7961776789,-39.2897419036,RUA POETA PERGENTINO BRITO DE LIMA,M,cvli,HOMICIDIO DOLOSO,,,Segunda-feira,False,False,,,1.0,HOMICIDIO DOLOSO
2.0,5.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-11,,,,01:46:08,78516,4426783.0,,-3.77560447,-38.5633906942,AVENIDA CARLOS AMORA,NAN,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA
2.0,5.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-11,,,,01:46:08,78633,4427537.0,,-3.77560447,-38.5633906942,AVENIDA CARLOS AMORA,NONE,cvp,ROUBO A PESSOA,,,Segunda-feira,False,False,,,,ROUBO A PESSOA
2.0,3.0,,,ANCURI,Fortaleza,,Sim,2026-05-10,,,,20:07:35,78498,4426779.0,,-3.8322388039,-38.4938390804,RUA PADRE PEDRO DE ALENCAR,NAN,cvp,ROUBO A PESSOA,,,Domingo,False,True,,,,ROUBO A PESSOA
2.0,13.0,,,ANCURI,Eusébio,,Sim,2026-05-10,,,,20:06:55,78511,4426643.0,,-3.8581278987,-38.4726677103,CE-040,NAN,cvp,ROUBO A PESSOA,,,Domingo,False,True,,,,ROUBO A PESSOA
2.0,19.0,,Arma de fogo,,Barbalha,,Sim,2026-05-10,,,,19:00:00,78410,4426405.0,30.0,-7.318982856,-39.3030451036,RUA FRANCISCO FERREIRA DE ARAÚJO,F,cvli,HOMICIDIO DOLOSO,,,Domingo,False,True,,,1.0,HOMICIDIO DOLOSO
2.0,13.0,,,COACU,Eusébio,,Sim,2026-05-10,,,,17:55:53,78510,4426642.0,,-3.8637165956,-38.4430484957,ESTRADA DO FIO,NAN,cvp,ROUBO A POSTO DE GASOLINA,,,Domingo,False,True,,,,ROUBO A POSTO DE GASOLINA
2.0,10.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-10,,,,17:17:38,78499,4426777.0,,-3.7824125038,-38.4831115595,RUA ARMANDO DALL'OLIO,NAN,cvp,ROUBO A RESIDÊNCIA,,,Domingo,False,True,,,,ROUBO A RESIDÊNCIA
2.0,7.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-10,,,,17:04:43,78500,4426776.0,,-3.7879718946,-38.5017550602,AVENIDA JOSÉ LEON,NAN,cvp,ROUBO A PESSOA,,,Domingo,False,True,,,,ROUBO A PESSOA
2.0,5.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-10,,,,15:41:18,78501,4426774.0,,-3.7432951906,-38.5235103896,RUA LAURO MAIA,NAN,cvp,ROUBO A PESSOA,,,Domingo,False,True,,,,ROUBO A PESSOA
2.0,1.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-10,,,,13:54:49,78502,4426773.0,,-3.7467711656,-38.5102620685,AVENIDA BARÃO DE STUDART,NAN,cvp,ROUBO A FARMÁCIA,,,Domingo,False,True,,,,ROUBO A FARMÁCIA
