w_ewma,w_lgbm,w_hist,w_target,p10,p20,r10,r20
0.1,0.2,0.6,0.1,0.17790697674418604,0.12151162790697678,0.4441306755260243,0.5559662236987818
0.1,0.1,0.8,0.0,0.17790697674418604,0.11976744186046515,0.4441306755260243,0.5460686600221483
0.1,0.0,0.5,0.4,0.17790697674418604,0.11918604651162792,0.4441306755260243,0.5441306755260242
0.1,0.0,0.6,0.3,0.17790697674418604,0.11918604651162792,0.4441306755260243,0.5441306755260242
0.1,0.0,0.7,0.2,0.17790697674418604,0.11918604651162792,0.4441306755260243,0.5441306755260242
0.1,0.0,0.8,0.1,0.17790697674418604,0.11918604651162792,0.4441306755260243,0.5441306755260242
0.0,0.0,0.3,0.7,0.17790697674418604,0.11860465116279072,0.4441306755260243,0.542469545957918
0.0,0.0,0.4,0.6,0.17790697674418604,0.11860465116279072,0.4441306755260243,0.542469545957918
0.0,0.0,0.5,0.5,0.17790697674418604,0.11860465116279072,0.4441306755260243,0.542469545957918
0.0,0.0,0.6,0.4,0.17790697674418604,0.11860465116279072,0.4441306755260243,0.542469545957918
0.0,0.0,0.7,0.3,0.17790697674418604,0.11860465116279072,0.4441306755260243,0.542469545957918
0.0,0.0,0.8,0.2,0.17790697674418604,0.11860465116279072,0.4441306755260243,0.542469545957918
0.0,0.0,0.9,0.1,0.17790697674418604,0.11860465116279072,0.4441306755260243,0.542469545957918
0.0,0.0,1.0,0.0,0.17790697674418604,0.11860465116279072,0.4441306755260243,0.542469545957918
0.0,0.1,0.1,0.8,0.17790697674418604,0.11860465116279072,0.4441306755260243,0.542469545957918
0.0,0.1,0.2,0.7,0.17790697674418604,0.11860465116279072,0.4441306755260243,0.542469545957918
0.0,0.1,0.3,0.6,0.17790697674418604,0.11860465116279072,0.4441306755260243,0.542469545957918
0.0,0.1,0.4,0.5,0.17790697674418604,0.11860465116279072,0.4441306755260243,0.542469545957918
0.0,0.1,0.5,0.4,0.17790697674418604,0.11860465116279072,0.4441306755260243,0.542469545957918
0.0,0.1,0.6,0.3,0.17790697674418604,0.11860465116279072,0.4441306755260243,0.542469545957918
0.0,0.1,0.7,0.2,0.17790697674418604,0.11860465116279072,0.4441306755260243,0.542469545957918
0.0,0.1,0.8,0.1,0.17790697674418604,0.11860465116279072,0.4441306755260243,0.542469545957918
0.0,0.1,0.9,0.0,0.17790697674418604,0.11860465116279072,0.4441306755260243,0.542469545957918
0.0,0.2,0.8,0.0,0.17790697674418604,0.11860465116279072,0.4441306755260243,0.542469545957918
0.1,0.0,0.9,0.0,0.17790697674418604,0.11860465116279072,0.4441306755260243,0.5412236987818382
0.0,0.2,0.7,0.1,0.17790697674418604,0.11802325581395351,0.4441306755260243,0.5408084163898117
0.0,0.1,0.0,0.9,0.17790697674418604,0.1180232558139535,0.4441306755260243,0.5395625692137319
0.0,0.3,0.2,0.5,0.17790697674418604,0.1168604651162791,0.4441306755260243,0.5468576965669988
0.0,0.2,0.3,0.5,0.17790697674418604,0.11627906976744189,0.4441306755260243,0.5415282392026577
0.0,0.2,0.6,0.2,0.17790697674418604,0.11627906976744189,0.4441306755260243,0.5352713178294572
0.0,0.2,0.4,0.4,0.17790697674418604,0.11569767441860467,0.4441306755260243,0.5392026578073089
0.0,0.3,0.0,0.7,0.17790697674418604,0.11511627906976744,0.4441306755260243,0.5435354374307863
