source,date,lat,lon,bairro_assigned,bairro_text
data_with_coordinates.js,2025-01-11T03:00:00.000Z,-6.3659382,-39.3014377,,Novo Iguatu
data_with_coordinates.js,2025-01-11T03:00:00.000Z,-4.5430992,-40.7164727,,São José
data_with_coordinates.js,2025-01-12T03:00:00.000Z,-3.7155013,-38.5560032,,São Gerardo
data_with_coordinates.js,2025-01-12T03:00:00.000Z,-3.7350579,-38.5660305,,Presidente Kenedy
data_with_coordinates.js,2025-01-12T03:00:00.000Z,-3.2247635,-40.3209194,,Mocambo
data_with_coordinates.js,2025-01-12T03:00:00.000Z,-4.3245693,-38.8189453,,Zona Rural
data_with_coordinates.js,2025-01-12T03:00:00.000Z,-5.2006103,-39.3051525,,Jaime Lopes
data_with_coordinates.js,2025-01-12T03:00:00.000Z,-4.0927857,-38.4878012,,Mangueiral
data_with_coordinates.js,2025-01-12T03:00:00.000Z,-3.7599137,-38.5786724,,Henrique Jorge
data_with_coordinates.js,2025-01-12T03:00:00.000Z,-3.7232976,-40.9896162,,Centro
data_with_coordinates.js,2025-01-12T03:00:00.000Z,-4.122823,-38.2254327,,Mataquiri II
data_with_coordinates.js,2025-01-12T03:00:00.000Z,-3.972241,-38.5416772,,Vila Machado
data_with_coordinates.js,2025-01-12T03:00:00.000Z,-3.6010913,-38.9619861,,Lagoinha
data_with_coordinates.js,2025-01-12T03:00:00.000Z,-3.0544759,-40.171956,,Centro
