agencia,ais,area_faccao,arma,bairro,cidade,comment,consolidado,data,database,editar,excluir,hora,id,id_evento,idade,latitude,longitude,name,sexo,tipo,tipo_evento,type,version,dia_semana,eh_feriado,dia_quente_cvp,clima,precipitacao_mm,qtd_mortes,nature,ais_original,regiao_risp
2.0,AIS 21,,,ENGENHEIRO LUCIANO CAVALCANTE,Fortaleza,,Sim,2026-04-30,,,,20:04:07,78275,4425559.0,,-3.7686149236,-38.4953221297,RUA JOSÉ GUILHERME DA COSTA,NONE,cvp,ROUBO A TEMPLOS RELIGIOSOS,,,Quinta-feira,False,True,,,,ROUBO A TEMPLOS RELIGIOSOS,AIS 21,CAPITAL LESTE
2.0,AIS 16,,,CURIÓ,Fortaleza,,Sim,2026-04-30,,,,11:51:17,78274,4425550.0,,-3.8224493344,-38.4769765017,AVENIDA ODILON GUIMARÃES,NONE,cvp,ROUBO A PESSOA,,,Quinta-feira,False,True,,,,ROUBO A PESSOA,AIS 16,CAPITAL LESTE
2.0,AIS 16,,,MESSEJANA,Fortaleza,,Sim,2026-04-30,,,,14:57:15,78273,4425551.0,,-3.8323006399,-38.4934627566,RUA TENENTE JURANDIR ALENCAR,NONE,cvp,ROUBO A FARMÁCIA,,,Quinta-feira,False,True,,,,ROUBO A FARMÁCIA,AIS 16,CAPITAL LESTE
2.0,AIS 05,,,COUTO FERNANDES,Fortaleza,,Sim,2026-04-30,,,,20:04:38,78272,4425560.0,,-3.759338792,-38.5634593204,AVENIDA AMÉRICO BARREIRA,NONE,cvp,ROUBO A PESSOA,,,Quinta-feira,False,True,,,,ROUBO A PESSOA,AIS 05,CAPITAL OESTE
2.0,AIS 14,,,MARACANAU,Maracanaú,,Sim,2026-04-30,,,,16:45:19,78271,4425608.0,,-3.8871525571,-38.6215845184,AVENIDA XII,NONE,cvp,ROUBO A PESSOA,,,Quinta-feira,False,True,,,,ROUBO A PESSOA,AIS 14,RMF LESTE
2.0,AIS 12,,,IPARANA,Caucaia,,Sim,2026-04-30,,,,05:22:56,78270,4425070.0,,-3.7253309225,-38.6534923602,RUA JOÃO FORTE,NONE,cvp,ROUBO A PESSOA,,,Quinta-feira,False,True,,,,ROUBO A PESSOA,AIS 12,RMF OESTE
2.0,AIS 05,,,BENFICA,Fortaleza,,Sim,2026-04-30,,,,01:03:20,78269,4425542.0,,-3.7396300566,-38.53991813,RUA CARAPINIMA,NONE,cvp,ROUBO A PESSOA,,,Quinta-feira,False,True,,,,ROUBO A PESSOA,AIS 21,CAPITAL OESTE
2.0,AIS 05,,,BENFICA,Fortaleza,,Sim,2026-04-30,,,,02:23:05,78268,4425543.0,,-3.7400266258,-38.5383063875,AVENIDA DA UNIVERSIDADE,NONE,cvp,ROUBO A PESSOA,,,Quinta-feira,False,True,,,,ROUBO A PESSOA,AIS 21,CAPITAL OESTE
2.0,AIS 31,,,DEPUTADO IRAPUAN PINHEIRO,Deputado Irapuan Pinheiro,,Sim,2026-04-30,,,,19:58:19,78267,4425642.0,,-5.9177009226,-39.2665968311,IRAPUAN RIBEIRO,NONE,cvp,ROUBO A PESSOA,,,Quinta-feira,False,True,,,,ROUBO A PESSOA,AIS 31,SUDESTE
2.0,AIS 19,,,JOAQUIM TÁVORA,Fortaleza,,Sim,2026-04-29,,,,19:55:08,78266,4425540.0,,-3.7519242063,-38.5167625029,RUA ANTÔNIO FURTADO,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,AIS 21,CAPITAL LESTE
2.0,AIS 08,,,MEIRELES,Fortaleza,,Sim,2026-04-29,,,,19:13:09,78265,4425538.0,,-3.7281613702,-38.4919033929,RUA PAULA BARROS,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,AIS 08,CAPITAL LESTE
2.0,,,,JANGURURSSU,Fortaleza,,Sim,2026-04-29,,,,15:10:45,78264,4425536.0,,-3.8366045728,-38.5161029192,RUA 5,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,AIS 16,
2.0,AIS 16,,,CURIÓ,Fortaleza,,Sim,2026-04-29,,,,14:46:23,78263,4425535.0,,-3.8190360132,-38.4752455883,RUA DO PARQUE,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,AIS 16,CAPITAL LESTE
2.0,AIS 05,,,PARANGABA,Fortaleza,,Sim,2026-04-29,,,,05:05:42,78262,4425532.0,,-3.7831742454,-38.5693124867,RUA ROQUETE PINTO,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA,AIS 05,CAPITAL OESTE
2.0,AIS 08,,,MEIRELES,Fortaleza,,Sim,2026-04-29,,,,00:07:34,78261,4425529.0,,-3.7265717926,-38.4961325691,RUA VISCONDE DE MAUÁ,NONE,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,Quarta-feira,False,False,,,,ROUBO A ESTABELECIMENTO COMERCIAL,AIS 08,CAPITAL LESTE
