micronodo,area_oficial,faction,lat,long,cvli_count_500m,cvli_count_1km,cvli_count_2km,cvli_count_total
Bairro do Cruzeiro ,ITAPAJÉ,PCC,-3.687416,-39.58837214243724,6,8,8,8
Comunidade Caramuru,SERRINHA,CV,-3.7921475,-38.5433049161567,8,8,8,8
Guanaces,PINDORETAMA,CV,-4.146576,-38.32874297699914,8,8,10,13
Buraco da Gia,GUAIÚBA,CV,-4.040748,-38.638366156152685,8,8,8,8
Alto Santo Antônio ,GUAIÚBA,CV,-4.048225,-38.634179488992686,8,8,9,11
Canal Leste da Sapiranga,SAPIRANGA / COITÉ,CV,-3.7932965,-38.45930246484375,8,8,8,8
Conjunto Lino SIlveira,MARECHAL RONDON,PCC,-3.770457,-38.63976068701624,8,8,8,8
Comunidade Do Real - São Cristóvão ,BARROSO,CV,-3.8310105,-38.52644777262253,8,8,8,8
Alto Alegre ,PAUPINA,CV,-3.8583105,-38.487621785138415,8,8,8,8
Cidade de Farias Brito,ALTANEIRA,CV,-6.9282475,-39.5717895,7,8,8,17
Porteiras ,PORTEIRAS,PCC,-7.5340055,-39.11549744480736,6,8,8,9
Irapuan Ribeiro,DEPUTADO IRAPUAN PINHEIRO,PCC,-5.9181740000000005,-39.26721206234097,6,8,9,17
Conjunto ,CRATEÚS,CV,-5.1719335,-40.67918133360656,8,8,8,9
Favela da H.R,CONJUNTO ESPERANÇA,CV,-3.8143045,-38.59210920404722,8,8,8,8
Mossoró,PIRAMBU,CV,-3.7129695,-38.552950402010055,8,8,8,8
Beco da Praça,FÁTIMA,CV,-3.7468625,-38.52640460082504,6,8,8,8
Lavras da Mangabeira,LAVRAS DA MANGABEIRA,PCC,-6.7521255,-38.96489525815976,6,8,10,15
Parque Presidente Vargas,PARQUE PRESIDENTE VARGAS,CV,-3.826081,-38.59658403717216,8,8,8,8
